id,commercial,address,building_type,rooms_count,residents_count,cons_jan,cons_feb,cons_may,cons_apr,cons_mar,cons_jun,cons_jul,cons_aug,cons_sep,cons_oct,cons_nov,cons_dec,area
1080,1,"Краснодарский край, р-н Анапский, село Витязево, проезд Летний, д. 2 А",Частный,3,3,616,8257,7054,6185,7089,8010,4319,15160,17611,2409,418,,
1082,1,"Краснодарский край, р-н Анапский, с Супсех, ул Цветочная, д. 28 ",Частный,3,3,0,0,0,1,1,7120,7120,7120,7120,7121,6075,7120,825.80
1083,1,"Краснодарский край, р-н Анапский, село Витязево, ул Горького, д. 33 ",Частный,3,3,3639,3803,3353,3931,3661,4495,6772,5941,4932,2926,3106,2969,
1084,1,"Краснодарский край, г Геленджик, с Архипо-Осиповка, ул Ленина, д. 94 ",Частный,1,3,4820,4604,3978,4436,4102,,12953,7153,5070,3247,3857,2763,
1086,1,"Краснодарский край, р-н Анапский, село Витязево, ул Золотые пески, д. 5 ",Частный,3,1,550,520,550,520,520,16810,19690,5393,11110,520,5260,19210,1024.80
1088,1,"Краснодарский край, г Геленджик, с Архипо-Осиповка, ул Кирпичная, д. 1 а",Частный,3,3,,,,0,0,10372,5548,5548,14291,0,,,257.90
1247,1,"Краснодарский край, р-н Северский, ст-ца Новодмитриевская, ул Садовая, д. 20 ",Прочий,,,4902,9204,7533,9654,6397,3367,3018,3288,5808,8781,4012,2776,
1249,0,"Республика Адыгея, р-н Тахтамукайский, аул Козет, ул Шоссейная, д. 44 ",Частный,3,1,691,644,654,627,684,982,1163,955,633,1142,759,590,
1259,1,"Краснодарский край, р-н Северский, пгт Ильский, ул Пионерская, д. 87 ",Частный,3,1,1295,1347,1177,1129,1149,259,324,411,348,748,686,412,43.20
1280,1,"Краснодарский край, р-н Усть-Лабинский, ст-ца Воронежская, ул Мира, д. 75 ",Частный,3,,3866,4620,4242,5540,4954,4728,4020,2097,1638,1648,1473,1565,
1286,1,"Краснодарский край, р-н Усть-Лабинский, ст-ца Воронежская, ул Садовая, д. 28 ",Частный,3,3,900,1226,1241,1516,1392,1397,1782,2424,1543,834,500,942,38.40
1294,1,"Краснодарский край, р-н Усть-Лабинский, ст-ца Некрасовская, ул Кирова, д. 18 пом.  1 2 4 5 6 7",Частный,3,3,645,977,946,686,850,2903,3003,2158,2244,1828,625,890,100.00
1304,1,"Краснодарский край, р-н Усть-Лабинский, п Вимовец, ул Строительная, д. 36 ",Частный,2,1,6251,4408,2167,3121,3268,654,68,,39,4017,4109,2989,55.30
1314,1,"Краснодарский край, р-н Усть-Лабинский, ст-ца Ладожская, ул Ленина, д. 66 ",Частный,4,6,2696,3231,2815,2692,2308,2263,3887,3161,2625,2578,2870,2193,99.70
1318,1,"Краснодарский край, р-н Усть-Лабинский, ст-ца Ладожская, ул Советская, д. 75 ",Частный,1,1,4027,3675,3772,39,4396,361,819,552,1062,441,468,440,
1356,1,"Краснодарский край, р-н Тимашевский, ст-ца Медведовская, ул Красная, д. 69 ",Частный,2,2,2865,2095,5546,1785,531,532,786,786,1593,1680,4596,791,77.60
1371,1,"Краснодарский край, р-н Тимашевский, ст-ца Медведовская, ул Лиманная, д. 5 ",Прочий,,,2330,1690,3458,1492,,0,751,390,430,2730,1870,1030,
1374,1,"Краснодарский край, р-н Калининский, х Лебеди, ул Красноармейская, д. 40 ",Частный,3,4,1327,764,1384,1203,1243,904,2778,3106,2073,1529,1213,1065,120.20
1379,1,"Краснодарский край, р-н Крыловский, ст-ца Октябрьская, ул Кондратюка, д. 7 ",Частный,,,,5146,5200,6004,4990,4861,4998,9863,14575,,,,
1388,1,"Краснодарский край, р-н Темрюкский, п Волна, ул Тмутараканская, д. 7 ",Частный,1,1,,,0,0,0,0,0,0,0,2,,0,
1390,1,"Краснодарский край, р-н Тимашевский, ст-ца Медведовская, ул Ленина, д. 33 а",Частный,3,1,,3357,4444,1033,,77,651,652,,,0,,
1393,0,"Краснодарский край, р-н Ейский, п Краснофлотский, ул Комсомольская, д. 36 9",Прочий,,,165,197,219,211,219,349,361,361,349,103,1400,361,
