iter	Logloss
0	0.6804244698
1	0.6726954172
2	0.6676674847
3	0.6581364222
4	0.6507006416
5	0.6446460505
6	0.639335389
7	0.634586878
8	0.6289001172
9	0.6248140176
10	0.6198241912
11	0.6153231284
12	0.611945264
13	0.6093176686
14	0.6056771274
15	0.6029363853
16	0.6000525905
17	0.5982890311
18	0.5952501246
19	0.5921871692
20	0.5898158423
21	0.5874189505
22	0.5854740945
23	0.583593185
24	0.5816514298
25	0.5796642643
26	0.5774244136
27	0.5753884613
28	0.5748891203
29	0.5735082408
30	0.572246193
31	0.5686705285
32	0.5660620207
33	0.5649144633
34	0.564492368
35	0.5624247181
36	0.5610548639
37	0.5603788087
38	0.558881716
39	0.5581725506
40	0.5569036464
41	0.5546704798
42	0.5533910671
43	0.5521837321
44	0.551028836
45	0.5503233571
46	0.5480072254
47	0.5457837059
48	0.5428412015
49	0.5420209221
50	0.5414758607
51	0.5397140585
52	0.5394266437
53	0.538784629
54	0.5377433275
55	0.5372055704
56	0.5358549415
57	0.5352806287
58	0.5340024564
59	0.5324630544
60	0.5317983
61	0.5307734331
62	0.5297871201
63	0.5288477679
64	0.5281327797
65	0.5274222361
66	0.5263090637
67	0.5257221408
68	0.5252414394
69	0.5237375594
70	0.5232176839
71	0.5224602484
72	0.5210285494
73	0.5201267864
74	0.5198829214
75	0.5196937003
76	0.5186776881
77	0.5173239238
78	0.517258737
79	0.5161932833
80	0.515961615
81	0.5148791066
82	0.5139684545
83	0.5136019335
84	0.5122490651
85	0.5113416516
86	0.5100702667
87	0.509451474
88	0.5074924573
89	0.5071458162
90	0.5056387664
91	0.504404833
92	0.5037000432
93	0.5027111462
94	0.502038743
95	0.5012018224
96	0.4997115516
97	0.4989780961
98	0.4982734441
99	0.4969185429
100	0.4949235564
101	0.4938075243
102	0.4929884163
103	0.491746903
104	0.4910924504
105	0.4894784555
106	0.4881152854
107	0.4875055195
108	0.486236891
109	0.4852787613
110	0.4846807787
111	0.4837956225
112	0.4828593367
113	0.4810881629
114	0.4805236696
115	0.4797408071
116	0.478783022
117	0.4780579388
118	0.475850027
119	0.4753355952
120	0.4737768989
121	0.4729060411
122	0.4718920616
123	0.471125048
124	0.4702016823
125	0.4697531265
126	0.4683325905
127	0.4676987414
128	0.4664958854
129	0.4650153306
130	0.4641382711
131	0.4630007398
132	0.4610046163
133	0.4599878116
134	0.4586344608
135	0.4576960043
136	0.4569601715
137	0.4557242053
138	0.455252393
139	0.4549455118
140	0.4536673739
141	0.4526942913
142	0.4512450207
143	0.4495712827
144	0.4488249759
145	0.4479622148
146	0.4464282564
147	0.4453679708
148	0.444092417
149	0.4436042736
150	0.4420051284
151	0.4408577777
152	0.4399141876
153	0.4393077983
154	0.4380124679
155	0.4375341094
156	0.4369160746
157	0.4353162403
158	0.4343853637
159	0.4336182123
160	0.4324878474
161	0.4311599581
162	0.4298605621
163	0.4292361878
164	0.4283386971
165	0.4274839982
166	0.4263427803
167	0.4251375126
168	0.424690645
169	0.4239651828
170	0.42357606
171	0.4226361909
172	0.4222564396
173	0.4211398218
174	0.4199056127
175	0.4189425562
176	0.4177876601
177	0.4159472684
178	0.4154823469
179	0.4147693915
180	0.414270843
181	0.4133875473
182	0.4125130374
183	0.4114001406
184	0.4109138233
185	0.4103132566
186	0.4092018069
187	0.4085079735
188	0.4073272369
189	0.4060774202
190	0.4052082162
191	0.4043315357
192	0.4035671405
193	0.4030490911
194	0.4020660512
195	0.4013253604
196	0.400486028
197	0.3994396618
198	0.3988835752
199	0.3983130179
200	0.3971985363
201	0.3955654195
202	0.3944773296
203	0.3933343201
204	0.3927401274
205	0.3915289336
206	0.3905845511
207	0.3899417784
208	0.3892705467
209	0.3883809115
210	0.3874101028
211	0.3863190843
212	0.3854570467
213	0.3839586103
214	0.3834361852
215	0.3823179826
216	0.3817172781
217	0.3809290064
218	0.3799550969
219	0.3794177532
220	0.3785678089
221	0.3780366325
222	0.3771634663
223	0.376349492
224	0.3755594631
225	0.3747381156
226	0.3734760677
227	0.3727588745
228	0.3716142457
229	0.3710059269
230	0.3705393516
231	0.3698017272
232	0.3684707715
233	0.3670784188
234	0.3659203874
235	0.3649603284
236	0.3646728102
237	0.3633842328
238	0.3628332799
239	0.3622998984
240	0.3620700562
241	0.3612818534
242	0.3609158491
243	0.3605895703
244	0.3603888417
245	0.3600849579
246	0.3590018983
247	0.3580914529
248	0.3574037867
249	0.3565564609
250	0.355777285
251	0.3548264941
252	0.3543882744
253	0.3537309277
254	0.3526591345
255	0.3520948134
256	0.3512854559
257	0.3511369594
258	0.3507117977
259	0.3497166646
260	0.3486219251
