iter	Passed	Remaining
0	206	786556
1	231	440966
2	249	316911
3	455	434909
4	575	438950
5	647	411375
6	693	377912
7	901	429504
8	1113	471405
9	1324	504553
10	1537	532360
11	1747	554546
12	1958	573425
13	2161	587394
14	2362	599242
15	2569	610623
16	2776	620920
17	2982	629890
18	3106	621302
19	3314	629629
20	3519	636577
21	3726	643245
22	3937	649907
23	4143	655125
24	4350	660161
25	4558	664947
26	4765	669355
27	4966	672412
28	4994	652788
29	5201	656908
30	5323	650522
31	5538	655485
32	5748	659495
33	5793	644990
34	5814	628660
35	6021	632722
36	6089	622453
37	6120	608948
38	6236	604490
39	6260	591475
40	6464	595716
41	6672	600011
42	6878	604019
43	7083	607717
44	7286	611126
45	7497	614992
46	7705	618428
47	7914	621766
48	8121	624891
49	8325	627600
50	8527	630053
51	8739	633082
52	8774	623469
53	8846	616828
54	9053	619596
55	9126	613285
56	9198	607106
57	9404	609845
58	9611	612543
59	9818	615155
60	10023	617532
61	10231	619968
62	10436	622228
63	10560	619612
64	10766	621802
65	10971	623902
66	11179	626046
67	11384	627976
68	11411	620211
69	11535	617834
70	11584	611507
71	11656	606613
72	11861	608683
73	12068	610773
74	12116	604870
75	12144	598137
76	12351	600233
77	12556	602218
78	12573	595271
79	12773	597020
80	12893	594990
81	13101	597061
82	13307	599007
83	13513	600862
84	13721	602790
85	13927	604547
86	14134	606306
87	14335	607775
88	14536	609247
89	14736	610596
90	14937	611939
91	15138	613264
92	15337	614509
93	15538	615760
94	15738	616943
95	15944	618330
96	16156	619927
97	16367	621450
98	16577	622902
99	16787	624343
100	16992	625527
101	17195	626636
102	17397	627649
103	17597	628612
104	17797	629529
105	17999	630494
106	18202	631463
107	18402	632343
108	18605	633265
109	18806	634110
110	19006	634924
111	19211	635861
112	19415	636761
113	19622	637726
114	19826	638576
115	20040	639750
116	20247	640663
117	20453	641525
118	20663	642466
119	20863	643108
120	21074	644065
121	21284	644986
122	21489	645719
123	21695	646496
124	21901	647242
125	22106	647921
126	22313	648671
127	22518	649345
128	22725	650046
129	22931	650723
130	23135	651321
131	23340	651948
132	23545	652539
133	23752	653196
134	23960	653864
135	24171	654577
136	24379	655220
137	24586	655820
138	24792	656387
139	24993	656789
140	25198	657296
141	25408	657925
142	25614	658461
143	25825	659075
144	26033	659642
145	26241	660169
146	26450	660715
147	26656	661199
148	26864	661686
149	27070	662139
150	27276	662593
151	27484	663062
152	27690	663486
153	27897	663933
154	28105	664369
155	28311	664786
156	28518	665190
157	28725	665588
158	28933	666019
159	29141	666430
160	29344	666717
161	29545	666958
162	29745	667184
163	29946	667413
164	30147	667640
165	30348	667849
166	30550	668084
167	30751	668305
168	30952	668499
169	31152	668682
170	31352	668854
171	31553	669051
172	31753	669213
173	31955	669402
174	32156	669587
175	32357	669772
176	32559	669957
177	32766	670244
178	32973	670519
179	33178	670763
180	33383	670986
181	33594	671344
182	33799	671555
183	34010	671890
184	34221	672221
185	34430	672514
186	34633	672677
187	34838	672855
188	35043	673060
189	35252	673314
190	35451	673400
191	35665	673737
192	35876	674029
193	36087	674307
194	36297	674572
195	36506	674804
196	36719	675114
197	36928	675350
198	37137	675572
199	37345	675763
200	37557	676039
201	37774	676383
202	37986	676654
203	38197	676874
204	38407	677102
205	38620	677362
206	38830	677555
207	39041	677780
208	39254	678033
209	39468	678286
210	39679	678508
211	39893	678748
212	40106	678991
213	40321	679242
214	40532	679437
215	40746	679667
216	40957	679862
217	41170	680069
218	41381	680240
219	41593	680429
220	41808	680659
221	42019	680831
222	42234	681058
223	42445	681218
224	42657	681387
225	42871	681575
226	43083	681745
227	43294	681893
228	43509	682098
229	43721	682246
230	43931	682368
231	44143	682517
232	44357	682690
233	44572	682867
234	44785	683029
235	45000	683200
236	45210	683305
237	45425	683480
238	45637	683601
239	45849	683725
240	46058	683810
241	46272	683952
242	46484	684066
243	46694	684149
244	46905	684244
245	47123	684441
246	47340	684609
247	47547	684639
248	47753	684656
249	47966	684768
250	48175	684824
251	48390	684959
252	48598	684995
253	48804	684994
254	49029	685265
255	49247	685422
256	49458	685486
257	49670	685562
258	49882	685644
259	50096	685739
260	50311	685855
261	50517	685840
262	50717	685748
263	50927	685783
264	51141	685869
265	51353	685929
266	51562	685951
267	51773	685995
268	51998	686225
269	52226	686490
270	52434	686482
271	52648	686555
272	52858	686575
273	53064	686552
274	53271	686526
275	53477	686492
276	53685	686479
277	53895	686484
278	54106	686507
279	54314	686499
280	54523	686485
281	54732	686491
282	54940	686463
283	55150	686467
284	55356	686425
285	55565	686403
286	55779	686461
287	56013	686751
288	56246	687022
289	56458	687045
290	56663	686975
291	56868	686898
292	57072	686818
293	57278	686761
294	57483	686683
295	57688	686609
296	57895	686563
297	58100	686483
298	58305	686404
299	58511	686342
300	58718	686282
301	58923	686210
302	59132	686168
303	59340	686120
304	59548	686075
305	59752	685978
306	59957	685899
307	60161	685804
308	60369	685747
309	60576	685686
310	60783	685626
311	60989	685541
312	61195	685467
313	61401	685392
314	61607	685308
315	61812	685219
316	62018	685137
317	62222	685036
318	62425	684923
319	62630	684826
320	62846	684849
321	63061	684861
322	63267	684774
323	63472	684681
324	63676	684575
325	63887	684535
326	64099	684514
327	64303	684397
328	64509	684307
329	64714	684204
330	64918	684097
331	65123	683989
332	65330	683909
333	65535	683807
334	65740	683706
335	65944	683585
336	66150	683486
337	66356	683390
338	66564	683314
339	66769	683205
340	66977	683127
341	67181	683016
342	67387	682916
343	67592	682804
344	67798	682696
345	68006	682616
346	68210	682497
347	68415	682383
348	68617	682246
349	68825	682162
350	69032	682062
351	69237	681952
352	69445	681864
353	69648	681724
354	69852	681599
355	70057	681487
356	70266	681407
357	70472	681301
358	70676	681174
359	70882	681065
360	71090	680970
361	71296	680866
362	71505	680775
363	71708	680643
364	71913	680514
365	72117	680384
366	72323	680271
367	72528	680148
368	72736	680058
369	72943	679951
370	73147	679819
371	73351	679681
372	73557	679568
373	73764	679461
374	73969	679336
375	74174	679208
376	74378	679074
377	74583	678951
378	74791	678842
379	74994	678696
380	75199	678568
381	75405	678448
382	75609	678311
383	75814	678186
384	76019	678057
385	76224	677922
386	76430	677806
387	76636	677676
388	76839	677528
389	77048	677431
390	77254	677308
391	77460	677183
392	77666	677062
393	77872	676937
394	78076	676797
395	78281	676661
396	78488	676544
397	78694	676415
398	78898	676270
399	79101	676123
400	79308	676000
401	79514	675876
402	79719	675739
403	79925	675608
404	80129	675459
405	80333	675318
406	80540	675192
407	80745	675059
408	80953	674940
